,Title,Author,Published,Link
0,Cross-Layer Multipath Multichannel MAC protocol for MANETs,"Abdelshafy, M.",Jun 2018,https://pureportal.coventry.ac.uk/en/publications/cross-layer-multipath-multichannel-mac-protocol-for-manets
0,Performance evaluation of Receiver Directed Transmission protocol with a single transceiver in MANETs,"Abdelshafy, M.",4 May 2017,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-receiver-directed-transmission-protocol
0,Reliable Multipath Multi-channel Route Migration over Multi Link-Failure in Wireless Ad Hoc Networks,"Abdelshafy, M.",23 Nov 2017,https://pureportal.coventry.ac.uk/en/publications/reliable-multipath-multi-channel-route-migration-over-multi-link-
0,Resisting blackhole attacks on MANETs,"Abdelshafy, M.",Jan 2016,https://pureportal.coventry.ac.uk/en/publications/resisting-blackhole-attacks-on-manets
0,Dynamic Source Routing under Attacks,"Abdelshafy, M.",12 Oct 2015,https://pureportal.coventry.ac.uk/en/publications/dynamic-source-routing-under-attacks
0,AODV & SAODV under Attack: Performance Comparison,"Abdelshafy, M.",Jun 2014,https://pureportal.coventry.ac.uk/en/publications/aodv-amp-saodv-under-attack-performance-comparison
0,AODV Routing Protocol Performance Analysis under MANET Attacks,"Abdelshafy, M.",Jun 2014,https://pureportal.coventry.ac.uk/en/publications/aodv-routing-protocol-performance-analysis-under-manet-attacks
0,Resisting flooding attacks on AODV,"Abdelshafy, M.",Nov 2014,https://pureportal.coventry.ac.uk/en/publications/resisting-flooding-attacks-on-aodv
0,Analysis of security attacks on AODV routing,"Abdelshafy, M.",Dec 2013,https://pureportal.coventry.ac.uk/en/publications/analysis-of-security-attacks-on-aodv-routing
0,Analysis and Evaluations of Wireless LANs Security Protocols,"Abdelshafy, M.",Nov 2002,https://pureportal.coventry.ac.uk/en/publications/analysis-and-evaluations-of-wireless-lans-security-protocols
0,An Active Attack on Token-Based Security Protocol,"Abdelshafy, M.",Apr 2001,https://pureportal.coventry.ac.uk/en/publications/an-active-attack-on-token-based-security-protocol
0,A New Attack on Aziz-Diffie Security Protocol,"Abdelshafy, M.",Mar 2001,https://pureportal.coventry.ac.uk/en/publications/a-new-attack-on-aziz-diffie-security-protocol
0,QoS within Business Grid Quality of Service (BGQoS),"Al Bodour, R.",Sept 2015,https://pureportal.coventry.ac.uk/en/publications/qos-within-business-grid-quality-of-service-bgqos-2
0,High level QoS-driven model for Grid applications in a simulated environment,"Al-Bodour, R.",Jul 2012,https://pureportal.coventry.ac.uk/en/publications/high-level-qos-driven-model-for-grid-applications-in-a-simulated--2
0,An extension of GridSim for quality of service,"Al Bodour, R.",14 Apr 2010,https://pureportal.coventry.ac.uk/en/publications/an-extension-of-gridsim-for-quality-of-service
0,Institutional Data Analysis and Machine Learning Prediction of Student Performance,"Anane, R.",20 May 2022,https://pureportal.coventry.ac.uk/en/publications/institutional-data-analysis-and-machine-learning-prediction-of-st
0,An Empirical Evaluation of Learning Style and Knowledge Level Adaptation,"Anane, R.",2016,https://pureportal.coventry.ac.uk/en/publications/an-empirical-evaluation-of-learning-style-and-knowledge-level-ada-2
0,Usability and Effectiveness Evaluation of Adaptivity in E-Learning Systems,"Anane, R.",2016,https://pureportal.coventry.ac.uk/en/publications/usability-and-effectiveness-evaluation-of-adaptivity-in-e-learnin-2
0,An E-Learning Investigation into Learning Style Adaptivity,"Anane, R.",5 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/an-e-learning-investigation-into-learning-style-adaptivity
0,Design and Usability Evaluation of Adaptive e-learning Systems Based on Learner Knowledge and Learning Style,"Anane, R.",Aug 2015,https://pureportal.coventry.ac.uk/en/publications/design-and-usability-evaluation-of-adaptive-e-learning-systems-ba-2
0,Students' Satisfaction in Learning Style-Based Adaptation,"Anane, R.",2015,https://pureportal.coventry.ac.uk/en/publications/students-satisfaction-in-learning-style-based-adaptation-2
0,The Impact of Learning Style Adaptivity in Teaching Computer Security,"Anane, R.",2015,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-learning-style-adaptivity-in-teaching-computer-secu-2
0,Adaptivity in E-learning systems,"Anane, R.",Oct 2014,https://pureportal.coventry.ac.uk/en/publications/adaptivity-in-e-learning-systems-2
0,Social Network Enhancement for Non-formal Learning,"Anane, R.",2014,https://pureportal.coventry.ac.uk/en/publications/social-network-enhancement-for-non-formal-learning-2
0,The Learning Object Triangle,"Anane, R.",17 Sept 2014,https://pureportal.coventry.ac.uk/en/publications/the-learning-object-triangle-2
0,Agent-based interaction protocols and topologies for manufacturing task allocation,"Anane, R.",2013,https://pureportal.coventry.ac.uk/en/publications/agent-based-interaction-protocols-and-topologies-for-manufacturin-2
0,A Recommendation Cascade for e-learning,"Anane, R.",25 Mar 2013,https://pureportal.coventry.ac.uk/en/publications/a-recommendation-cascade-for-e-learning
0,Hybrid P2P Architecture for Transaction Management,"Anane, R.",19 Dec 2013,https://pureportal.coventry.ac.uk/en/publications/hybrid-p2p-architecture-for-transaction-management
0,Hybrid Profiling in Information Retrieval,"Anane, R.",11 Jun 2013,https://pureportal.coventry.ac.uk/en/publications/hybrid-profiling-in-information-retrieval
0,A new agents-based model for dynamic job allocation in manufacturing shopfloors,"Anane, R.",4 May 2012,https://pureportal.coventry.ac.uk/en/publications/a-new-agents-based-model-for-dynamic-job-allocation-in-manufactur-2
0,An optimized approach for storing and accessing small files on cloud storage,"Anane, R.",Nov 2012,https://pureportal.coventry.ac.uk/en/publications/an-optimized-approach-for-storing-and-accessing-small-files-on-cl-2
0,A service-oriented architecture for robust e-voting,"Anane, R.",2012,https://pureportal.coventry.ac.uk/en/publications/a-service-oriented-architecture-for-robust-e-voting-2
0,File management in a mobile DHT-based P2P environment,"Anane, R.",2012,https://pureportal.coventry.ac.uk/en/publications/file-management-in-a-mobile-dht-based-p2p-environment-4
0,The Impact of Modes of Mediation on the Web Retrieval Process,"Anane, R.",Sept 2012,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-modes-of-mediation-on-the-web-retrieval-process
0,Model interoperability via model driven development,"Anane, R.",Mar 2011,https://pureportal.coventry.ac.uk/en/publications/model-interoperability-via-model-driven-development-2
0,Robust e-Voting Composition,"Anane, R.",Dec 2011,https://pureportal.coventry.ac.uk/en/publications/robust-e-voting-composition
0,An architecture for grid-enabled distributed simulation,"Anane, R.",2009,https://pureportal.coventry.ac.uk/en/publications/an-architecture-for-grid-enabled-distributed-simulation-2
0,Stateless data concealment for distributed systems,"Anane, R.",Mar 2008,https://pureportal.coventry.ac.uk/en/publications/stateless-data-concealment-for-distributed-systems-2
0,A timed automata approach to QoS resolution,"Anane, R.",Jan 2006,https://pureportal.coventry.ac.uk/en/publications/a-timed-automata-approach-to-qos-resolution-2
0,eLearning content provision,"Anane, R.",2004,https://pureportal.coventry.ac.uk/en/publications/elearning-content-provision-2
0,Implementation of a proactive load sharing scheme,"Anane, R.",2003,https://pureportal.coventry.ac.uk/en/publications/implementation-of-a-proactive-load-sharing-scheme-2
0,Multiple evolutionary agents for decision support,"Anane, R.",2003,https://pureportal.coventry.ac.uk/en/publications/multiple-evolutionary-agents-for-decision-support-2
0,Transaction oriented engineering design and formal specification: a multi-agent approach,"Anane, R.",2003,https://pureportal.coventry.ac.uk/en/publications/transaction-oriented-engineering-design-and-formal-specification--2
